origin,dest,distance
-122.296184847.6141268,-122.29618444714247.6142164105682,0.01798621
-122.296201947.6129477,-122.296200647.613037,0.001926735
-122.29618444714247.6142164105682,-122.296180247.615295,0.000000144
-122.299950347.6176511,-122.299881347.6177522,0.880797078
-122.300144347.6100332,-122.300120947.6115811,0.037326887
-122.300094147.6129422,-122.300093447.6141472,0.985936373
-122.300093847.6153065,-122.300075747.616461,0.679178699
-122.300075747.616461,-122.300061347.6174895,0.904650535
-122.300093447.6141472,-122.300093847.6153065,0.622459331
-122.300120947.6115811,-122.300094147.6129422,0.622459331
-122.288208847.6128877,-122.28876347.6128912,0.002472623
-122.307318947.6232348,-122.307186547.6232237,0.99999774
-122.30998547.6232425,-122.309906547.6232521,0.005220126
-122.30868547.6232488,-122.308043547.6232452,0.962673113
-122.306021947.6232103,-122.305363247.6232069,0.148047198
-122.29616683258347.6227056000505,-122.296180447.6227647,0.993307149
-122.296123747.6225177,-122.296142247.6225983,0.991422515
-122.291274547.6184681,-122.29127106484247.6186242851796,0.000123
-122.29127106484247.6186242851796,-122.291265547.6188773,0.0000167
-122.291202247.6224896,-122.29111447.6224908,0.5
-122.2961207169547.6225176791559,-122.2948547.6225088,0.001501182
-122.293765247.6225033,-122.293172147.6224967,0.98201379
-122.293172147.6224967,-122.292600647.6224927,0.999876605
-122.2948547.6225088,-122.293765247.6225033,0.000203
-122.291990947.6224884,-122.291202247.6224896,0.880797078
-122.289923547.6225357,-122.289865347.6225357,0.5
-122.296123747.6225177,-122.2961207169547.6225176791559,0.952574127
-122.28690247.6233624,-122.287723447.6237998,0.047425873
-122.289416447.6242106,-122.289510747.6242357,0.001501182
-122.291108347.6249579,-122.291258547.6250058,0.010986943
-122.304962247.6129225,-122.303654447.612927,0.999964644
-122.306274647.6129209,-122.306012247.6129212,0.999983299
-122.303567247.6231836,-122.302459147.6231724,0.994779874
-122.30118647.6226524,-122.301183647.622839,0.005220126
-122.301193547.621368,-122.301181947.6219897,0.851952802
-122.301195147.6202105,-122.30119547.620297,0.991422515
-122.30116447.6243892,-122.301142847.6251898,0.00071
-122.30741921656247.6167249479582,-122.307418847.616743,0.880797078
-122.307534747.6129089,-122.307492147.6141039,0.999993856
-122.307452547.6152872,-122.307444447.6156355,0.985936373
-122.302545347.6191841,-122.302546586347.6191657020084,0.999954602
-122.302546586347.6191657020084,-122.302551947.6190897,0.999941709
-122.308687147.6244253,-122.309343947.6244253,0.02297737
-122.293712447.6141018,-122.293766147.6140192,0.0000748
-122.29376747.6116676,-122.293819547.6117566,4.60E-10
-122.29376747.6116676,-122.293728447.6117592,2.29E-11
-122.293712447.6141018,-122.293612147.6141608,2.79E-10
-122.293549647.6164452,-122.293535147.6176136,0.0000583
-122.293566947.6152795,-122.293549647.6164452,0.000000504
-122.293535147.6176136,-122.293527947.6179932,0.268941421
-122.302545347.6191841,-122.302435347.6192596,0.999954602
-122.304672247.6244125,-122.305160147.6244134,0.000911
-122.307306347.62442,-122.308000847.6244191,0.5
-122.305984147.624415,-122.306650947.6244185,0.000335
-122.30116447.6243892,-122.302439247.6244017,0.731058579
-122.302439247.6244017,-122.302978947.6244045,0.99999824
-122.29980847.6243862,-122.300480547.6243877,0.00116951
-122.296627647.6243636,-122.297091647.6243669,0.000431
-122.298739847.624376,-122.29980847.6243862,0.037326887
-122.297667247.6243711,-122.298739847.624376,0.000000832
-122.303560647.6244049,-122.30409247.6244094,0.997527377
-122.296627647.6243636,-122.296620747.6250493,0.817574476
-122.296598147.6238092,-122.296610547.6239395,0.904650535
-122.293463247.6213354,-122.293189947.6213359,0.991422515
-122.292312147.6213264,-122.292023147.621326,0.999447221
-122.293189947.6213359,-122.293033847.6213342,0.999972464
-122.29609342234247.6213455906888,-122.295435647.6213452,4.36E-09
-122.293785747.621341,-122.293463247.6213354,0.622459331
-122.294778747.6213443,-122.293785747.621341,0.000158
-122.292023147.621326,-122.291232947.6213261,0.0000583
-122.298590947.6213577,-122.298533647.6213571,0.970687769
-122.296109147.6213456,-122.29609342234247.6213455906888,0.0000354
-122.297262447.6213517,-122.296744347.621349,0.005220126
-122.296579947.6236045,-122.296484247.6234209,0.997527377
-122.296598147.6238092,-122.296599347.6236801,0.952574127
-122.309528547.6129105,-122.309325247.6129092,0.5
-122.298630647.6176372,-122.298557147.6177833,2.51E-08
-122.298846647.6100317,-122.2988347.6115789,0.0000214
-122.298813947.612943,-122.298803247.6134061,8.76E-08
-122.298791847.6153029,-122.298751647.6164554,0.07585818
-122.298751647.6164554,-122.298713547.6174949,0.148047198
-122.298790547.6141404,-122.298791847.6153029,0.000000648
-122.2988347.6115789,-122.298816347.6124667,0.000000832
-122.302562747.6189356,-122.3025449607647.6189355125284,0.999796573
-122.30119447.6189284,-122.300535947.6189248,0.777299861
-122.3025449607647.6189355125284,-122.302461347.6189351,0.99973881
-122.297273147.6189103,-122.296121547.6189053,0.014063627
-122.29856647.6189136,-122.297896847.6189098,0.00000614
-122.299871447.618921,-122.299211347.6189172,0.00000789
-122.289388847.6104112,-122.289384847.6105485,0.997527377
-122.296199447.6116226,-122.296062547.6116792,0.0000354
-122.29622999804447.6116167052586,-122.296199447.6116226,0.880797078
-122.29376747.6116676,-122.292630947.6116558,0.000000113
-122.292630947.6116558,-122.291476247.6116489,0.000911
-122.291476247.6116489,-122.290417647.611642,0.07585818
-122.294934847.6116797,-122.29376747.6116676,0.000000144
-122.302726647.6115743,-122.301462847.6115779,0.182425524
-122.2988347.6115789,-122.298176147.6115688,1.96E-08
-122.297512247.6115657,-122.296877647.611566,0.006692851
-122.300120947.6115811,-122.2988347.6115789,0.0000167
-122.301462847.6115779,-122.300120947.6115811,0.0000961
-122.29616247.6176241,-122.296121547.6189053,0.000553
-122.296180247.615295,-122.296173247.6161996,0.000203
-122.296171247.6164537,-122.296169447.6166843,0.047425873
-122.290306847.6152329,-122.289266347.6152239,0.000000832
-122.289266347.6152239,-122.288164547.6152156,0.07585818
-122.293566947.6152795,-122.292406147.6152742,0.000000306
-122.292406147.6152742,-122.291359847.6152617,0.0000167
-122.294865447.6152854,-122.294240147.6152826,2.79E-10
-122.2961645349147.6152948413476,-122.295538447.6152885,1.61E-09
-122.291359847.6152617,-122.290306847.6152329,1.52E-08
-122.303602147.6153067,-122.30264740632747.6153051218308,0.97702263
