origin,dest,distance
-122.397446447.5685167,-122.397492347.5667297,0
-122.3974477971668547.57031375596894,-122.397446447.5685167,1
-122.397473347.5648177,-122.397498247.5647479,0
-122.397475147.5666892,-122.397466547.5666429,0
-122.397615847.5631401,-122.397641647.5627579,0
-122.292619247.5991777,-122.292659647.5989261,1
-122.345927147.6357056,-122.345214147.6356721,0
-122.290445147.6092782,-122.289405447.6092658,1
-122.291518147.6092835,-122.290445147.6092782,0
-122.289405447.6092658,-122.288316847.6092537,1
-122.292633347.6092893,-122.292060647.6092882,0
-122.288316847.6092537,-122.288053447.6092544,0
-122.293762847.6093026,-122.293197147.6092979,0
-122.296493947.5811357,-122.296424547.5810705,0
-122.2975460123231447.5820216211905,-122.297455947.5820227,0
-122.297597947.582021,-122.2975460123231447.5820216211905,0
-122.3134917388724347.56532541077227,-122.312719847.5653197,2
-122.313503847.5653255,-122.3134917388724347.56532541077227,1
-122.35170847.5577828,-122.352065247.5577874,0
-122.307264747.6387173,-122.307266947.6386809,0
-122.307259447.6393754,-122.307261947.6390682,1
-122.307311647.6379531,-122.308081847.6375492,0
-122.36319147.5318758,-122.364006447.5318758,1
-122.3658395503203947.531879863323795,-122.365853747.5318799,0
-122.336277547.5212393,-122.335906247.5209877,0
-122.311210847.6286758,-122.311177847.6286875,0
-122.28123147.5733829,-122.281173147.5733168,0
-122.28455947.5157217,-122.283036347.5148935,2
-122.284566647.516547,-122.284784647.5163687,0
-122.28142347.7037629,-122.28158147.7038031,0
-122.278096347.5297374,-122.279023447.5297346,2
-122.3872123589997247.63940551596468,-122.387130347.6393619,3
-122.38728147.639442,-122.3872123589997247.63940551596468,3
-122.387688947.6406151,-122.387522647.6402465,4
-122.31806347.6080567,-122.31734447.6080578,0
-122.320803947.6081253,-122.320764547.6081074,0
-122.390845747.6927367,-122.391853447.6927417,0
-122.390309347.6927256,-122.390845747.6927367,0
-122.366022947.69281,-122.366682847.6928109,2
-122.366015573178747.69280999011818,-122.366022947.69281,0
-122.367315947.6928117,-122.367991547.6928064,2
-122.363353747.6928064,-122.366015573178747.69280999011818,0
-122.360662147.6928194,-122.363353747.6928064,4
-122.395849447.6931284,-122.396947247.6931349,0
-122.276111347.6713335,-122.277038647.6717484,2
-122.27803647.6724642,-122.278271947.6726732,1
-122.314560347.6283999,-122.314571747.6286795,2
-122.316719447.6286156,-122.316531147.6286567,1
-122.317717147.6307279,-122.31776747.6306856,0
-122.31458947.6293123,-122.314563647.6293813,0
-122.28538847.6183228,-122.285322847.6185422,1
-122.407067347.5794711,-122.408016847.5794872,1
-122.406675247.5794512,-122.407067347.5794711,0
-122.406206747.5794442,-122.406675247.5794512,0
-122.404023647.579412,-122.404629347.5794146,1
-122.405303447.5794139,-122.406032347.579441,0
-122.381278947.5792977,-122.381806147.5793008,0
-122.37808647.5792794,-122.379175847.5792857,0
-122.377017747.5792732,-122.37808647.5792794,1
-122.414608947.5779605,-122.414674947.575965,2
-122.414742347.5742361,-122.414744247.5741883,1
-122.414756747.573876,-122.414766647.5736289,1
-122.414770347.5735382,-122.414789647.5730562,1
-122.414766647.5736289,-122.414770347.5735382,1
-122.414674947.575965,-122.414706147.574605,1
-122.409576647.6405731,-122.409979247.6403015,0
-122.410443147.6400007,-122.410897447.6396984,1
-122.409979247.6403015,-122.410443147.6400007,0
-122.408073347.640875,-122.408265447.6407384,2
-122.407277347.6420558,-122.40733247.6418345,1
-122.407694747.6412122,-122.407874547.6410324,2
-122.408847247.6404511,-122.409056847.6403819,0
-122.408540447.6406008,-122.408847247.6404511,0
-122.354487647.6412081,-122.354653747.6413464,1
-122.353468747.6402601,-122.353587847.6403709,1
-122.397801747.583118,-122.397763147.5830874,0
-122.397283847.5792537,-122.397318347.5775634,1
-122.332179647.6774147,-122.331014947.6772501,0
-122.287161247.6223145,-122.287438747.6222879,2
-122.288738247.6193102,-122.288514147.6193074,0
-122.28796347.620145,-122.287947647.6210322,0
-122.39596847.579781,-122.39598647.5792345,0
-122.395918247.5812582,-122.395947747.5805106,0
-122.395947747.5805106,-122.39596847.579781,0
-122.396510747.5792428,-122.396551647.5775504,0
-122.354389247.6731707,-122.353916947.6731698,0
-122.348022647.673159,-122.34732247.6731577,0
-122.352878447.6731679,-122.351403247.6731652,0
-122.348499247.6731599,-122.348022647.673159,0
-122.349959347.6731625,-122.348499247.6731599,0
-122.351403247.6731652,-122.349959347.6731625,0
-122.355348747.6731666,-122.354389247.6731707,1
-122.333564547.672917,-122.333561033847347.6729169671714,0
-122.330903847.6728918,-122.328213747.6728663,0
-122.333561033847347.6729169671714,-122.330903847.6728918,0
-122.3422571066851547.659175302621406,-122.342256147.6591753,0
-122.343792247.6591793,-122.3422571066851547.659175302621406,0
-122.344587947.6591741,-122.343792247.6591793,2
-122.355439647.6589457,-122.3543847.6589465,3
-122.350033347.659337,-122.348652947.6593364,1
-122.346685947.6595748,-122.345633147.6595609,2
-122.347256247.659574,-122.346685947.6595748,1
-122.345633147.6595609,-122.344584547.6595563,1
-122.356094347.6595908,-122.357292947.6595951,3
-122.302544447.5526016,-122.302460647.5526094,0
-122.303449947.552593,-122.302639347.5526007,1
-122.35369947.6323212,-122.353697247.631016,0
-122.2715293649430647.67575739110684,-122.271529647.675767,3
-122.271529647.675767,-122.271577747.6770797,3
-122.271561447.6721151,-122.271608347.6722242,3
-122.2719564009852747.66127490255757,-122.271956247.6612845,0
-122.271981647.6600716,-122.2719564009852747.66127490255757,0
-122.271803347.6595351,-122.271908947.6596119,2
-122.2715146304597947.6613326570241,-122.271506647.6613382,0
-122.271459447.6613782,-122.271503347.6630654,0
-122.271636447.6612845,-122.27158547.6612923,0
-122.304482547.6630687,-122.304481947.6630549,2
-122.402558947.6624458,-122.403547847.6624479,1
-122.401765747.662498,-122.401817947.6624722,0
-122.40706447.5801873,-122.407062847.5804547,1
-122.419072947.5751431,-122.419033947.5751043,6
-122.414789647.5730562,-122.413665547.5726511,1
-122.418201247.574645,-122.416765847.5738959,1
-122.329255347.5676917,-122.329068847.5676098,0
-122.289344847.5531026,-122.289342447.5525175,2
-122.289343747.5519957,-122.289364447.5511368,0
-122.289342447.5525175,-122.289343747.5519957,1
-122.288901347.5475793,-122.288933947.5475394,0
-122.288883947.5484494,-122.288901347.5475793,0
-122.288540247.5367236,-122.288563147.5352338,1
